date,change_categorical,daily_change_pred,daily_change,tweets_count,neg_sentiment,neu_sentiment,pos_sentiment,compound_sentiment
2017-08-10,Increase,0.6949854442576564,-2.236403353256622,1,0.0,1.0,0.0,0.0
2017-08-14,Decrease,-0.404066395863012,1.6570328333447293,1,0.0,0.797,0.203,0.6239
2017-08-25,Decrease,-0.686678382388628,-1.3827075412393253,1,0.0,1.0,0.0,0.0
2017-08-30,Increase,0.7701437029846048,1.6754972691134018,1,0.074,0.762,0.164,0.3023
2017-08-31,Decrease,-0.1404867570839574,0.7701437029846048,1,0.0,1.0,0.0,0.0
2017-09-13,Increase,3.1155252330607786,0.9593371691676956,1,0.0,0.913,0.087,0.2263
2017-10-05,Increase,0.4362107763772327,0.09014251952479402,1,0.052,0.886,0.063,0.1505
2017-10-06,Decrease,-3.906077723067813,0.4362107763772327,7,0.113,0.721,0.166,0.8923
2017-10-12,Decrease,-0.030931136607725836,0.3045733552533125,2,0.0,0.812,0.188,0.8805
2017-10-26,Decrease,-1.6249157490727528,0.1012796047625164,1,0.132,0.768,0.101,-0.34
2017-11-15,Increase,0.3854829504288393,0.8422361984608884,2,0.237,0.7,0.064,-0.8126
2017-11-17,Decrease,-2.00285233537153,0.8159973144531207,1,0.0,1.0,0.0,0.0
2017-11-30,Decrease,-0.7511748396724859,0.4259625415678148,1,0.0,1.0,0.0,0.0
2017-12-21,Decrease,-1.9477775472299677,0.8146439482408008,1,0.0,0.59,0.41,0.8779
2017-12-26,Decrease,-1.7807070264657887,-2.4323504153644597,3,0.081,0.683,0.236,0.9371
2017-12-27,Increase,1.1936842057588717,-1.7807070264657887,1,0.0,1.0,0.0,0.0
2018-01-09,Increase,0.33264425892567395,-0.8085353244766336,2,0.0,0.777,0.223,0.3182
2018-01-12,Increase,1.1421059188277958,-0.5118997791663249,1,0.0,0.71,0.29,0.8705
2018-01-31,Decrease,-1.4281293846785892,2.4550315350653884,1,0.0,0.5,0.5,0.6124
2018-02-02,Decrease,-3.0894553444602235,-1.5748009994998593,1,0.0,1.0,0.0,0.0
2018-02-05,Increase,0.25215271660199434,-3.0894553444602235,1,0.0,1.0,0.0,0.0
2018-02-06,Increase,3.3026938408692086,0.25215271660199434,3,0.0,0.902,0.098,0.6486
2018-02-16,Decrease,-0.2146072808425159,0.4250554813647112,1,0.159,0.841,0.0,-0.5994
2018-02-21,Increase,3.8613821724430735,-0.4391055169360669,1,0.0,0.817,0.183,0.5859
2018-02-22,Increase,1.6985909852722525,3.8613821724430735,1,0.0,0.802,0.198,0.8555
2018-02-27,Decrease,-2.2593216035836083,-1.7990082982631717,1,0.067,0.84,0.094,0.2732
2018-03-05,Decrease,-1.544920965329566,-0.5281748258673669,1,0.0,1.0,0.0,0.0
2018-03-07,Decrease,-0.9629843491796964,1.2492378160404716,2,0.0,0.875,0.125,0.5719
2018-03-08,Decrease,-0.5864503018896516,-0.9629843491796964,2,0.0,0.937,0.063,0.4497
2018-03-09,Increase,5.605647482412834,-0.5864503018896516,2,0.064,0.841,0.095,0.1154
2018-03-20,Increase,1.9256144481642143,-0.9599457406897716,1,0.0,1.0,0.0,0.0
2018-03-22,Decrease,-2.4458121078319017,-2.3473289526521057,3,0.062,0.78,0.158,0.8807
2018-03-23,Increase,0.8755055542975176,-2.4458121078319017,1,0.03,0.802,0.168,0.7635
2018-03-26,Decrease,-8.218818003144259,0.8755055542975176,1,0.0,1.0,0.0,0.0
